Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FinanceTransaction.Account,AccountId,FinanceTransaction,,Account,口座,口座,参照関係(取引先),false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.AdjustmentAmount,AdjustmentAmount,FinanceTransaction,,AdjustmentAmount,調整金額,調整金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.BaseCurrencyAmount,BaseCurrencyAmount,FinanceTransaction,,BaseCurrencyAmount,基本通貨金額,基本通貨金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.BaseCurrencyBalance,BaseCurrencyBalance,FinanceTransaction,,BaseCurrencyBalance,基本通貨残高,基本通貨残高,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.BaseCurrencyFxDate,BaseCurrencyFxDate,FinanceTransaction,,BaseCurrencyFxDate,基本通貨外国為替日,基本通貨外国為替日,日付,false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.BaseCurrencyFxRate,BaseCurrencyFxRate,FinanceTransaction,,BaseCurrencyFxRate,基本通貨外国為替レート,基本通貨外国為替レート,数値(16、2),false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.BaseCurrencyIsoCode,BaseCurrencyIsoCode,FinanceTransaction,,BaseCurrencyIsoCode,基本通貨 ISO コード,基本通貨 ISO コード,テキスト(3),false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.ChargeAmount,ChargeAmount,FinanceTransaction,,ChargeAmount,請求金額,請求金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.CreatedBy,CreatedById,FinanceTransaction,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,FinanceTransaction.CreatedDate,CreatedDate,FinanceTransaction,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,FinanceTransaction.CreationMode,CreationMode,FinanceTransaction,,CreationMode,作成モード,作成モード,選択リスト,false,false,false,true,true,true
000000000000000AAA,FinanceTransaction.DestinationEntity,DestinationEntityId,FinanceTransaction,,DestinationEntity,対象エンティティ,対象エンティティ,"参照関係(請求書,請求書品目,クレジットメモ,クレジットメモ品目,支払い,支払い行請求書,返金,品目支払の返金,クレジットメモ請求書アプリケーション)",false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.DueDate,DueDate,FinanceTransaction,,DueDate,期日,期日,日付/時間,false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.EffectiveDate,EffectiveDate,FinanceTransaction,,EffectiveDate,発効日,発効日,日付/時間,false,false,true,true,false,true
000000000000000AAA,FinanceTransaction.EventAction,EventAction,FinanceTransaction,,EventAction,イベントアクション,イベントアクション,選択リスト,false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.EventType,EventType,FinanceTransaction,,EventType,イベント種別,イベント種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.FinanceSystemIntegrationMode,FinanceSystemIntegrationMode,FinanceTransaction,,FinanceSystemIntegrationMode,会計システムインテグレーションモード,会計システムインテグレーションモード,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.FinanceSystemIntegrationStatus,FinanceSystemIntegrationStatus,FinanceTransaction,,FinanceSystemIntegrationStatus,会計システムインテグレーション状況,会計システムインテグレーション状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.FinanceSystemName,FinanceSystemName,FinanceTransaction,,FinanceSystemName,会計システム名,会計システム名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.FinanceSystemTransactionNumber,FinanceSystemTransactionNumber,FinanceTransaction,,FinanceSystemTransactionNumber,会計システムトランザクション番号,会計システムトランザクション番号,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.Id,Id,FinanceTransaction,,Id,金融取引 ID,金融取引 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FinanceTransaction.ImpactAmount,ImpactAmount,FinanceTransaction,,ImpactAmount,影響金額,影響金額,通貨(16、2),false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.IsDeleted,IsDeleted,FinanceTransaction,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FinanceTransaction.LastModifiedBy,LastModifiedById,FinanceTransaction,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FinanceTransaction.LastModifiedDate,LastModifiedDate,FinanceTransaction,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FinanceTransaction.LastReferencedDate,LastReferencedDate,FinanceTransaction,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.LastViewedDate,LastViewedDate,FinanceTransaction,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,FinanceTransaction.LegalEntity,LegalEntityId,FinanceTransaction,,LegalEntity,法人,法人,参照関係(法人),false,true,false,true,true,true
000000000000000AAA,FinanceTransaction.Name,FinanceTransactionNumber,FinanceTransaction,,Name,名前,名前,自動採番,false,false,true,true,false,true
