Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MLRecommendationDefinition.Application,ApplicationId,MLRecommendationDefinition,,Application,AI アプリケーション,AI アプリケーション,参照関係(AI アプリケーション),false,true,true,true,true,true
000000000000000AAA,MLRecommendationDefinition.CreatedBy,CreatedById,MLRecommendationDefinition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.CreatedDate,CreatedDate,MLRecommendationDefinition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MLRecommendationDefinition.Description,Description,MLRecommendationDefinition,,Description,ML おすすめ定義の説明,ML おすすめ定義の説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.DeveloperName,DeveloperName,MLRecommendationDefinition,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,MLRecommendationDefinition.ExternalId,ExternalId,MLRecommendationDefinition,,ExternalId,外部 ID,外部 ID,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.FullName,FullName,MLRecommendationDefinition,,FullName,ML おすすめ定義名,ML おすすめ定義名,テキスト(128),false,true,false,false,true,false
000000000000000AAA,MLRecommendationDefinition.Id,Id,MLRecommendationDefinition,,Id,ML おすすめ定義 ID,ML おすすめ定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MLRecommendationDefinition.InteractionDateField,InteractionDateField,MLRecommendationDefinition,,InteractionDateField,インタラクション日付項目,インタラクション日付項目,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.IsDeleted,IsDeleted,MLRecommendationDefinition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.Language,Language,MLRecommendationDefinition,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.LastModifiedBy,LastModifiedById,MLRecommendationDefinition,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.LastModifiedDate,LastModifiedDate,MLRecommendationDefinition,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MLRecommendationDefinition.ManageableState,ManageableState,MLRecommendationDefinition,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.MasterLabel,MasterLabel,MLRecommendationDefinition,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.Metadata,Metadata,MLRecommendationDefinition,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,MLRecommendationDefinition.NamespacePrefix,NamespacePrefix,MLRecommendationDefinition,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.NegativeExpression,NegativeExpressionId,MLRecommendationDefinition,,NegativeExpression,否定表現,否定表現,参照関係(ML 条件),false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.PositiveExpression,PositiveExpressionId,MLRecommendationDefinition,,PositiveExpression,肯定表現,肯定表現,参照関係(ML 条件),false,true,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.Status,Status,MLRecommendationDefinition,,Status,ML おすすめ定義の状況,ML おすすめ定義の状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,MLRecommendationDefinition.SystemModstamp,SystemModstamp,MLRecommendationDefinition,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
